temp,maxt,visibility,wspd,datetimeStr,heatindex,cloudcover,mint,datetime,precip,weathertype,snowdepth,humidity,wgust,conditions,windchill,Zipcode,Country
0.0,3.6,21.3,15.1,2021-12-23T00:00:00+01:00,,,-3.4,1640217600000,0.02,,,81.76,,Rain,-7.5,37073,Germany
2.1,6.5,23.0,20.8,2021-12-23T00:00:00+01:00,,,-0.3,1640217600000,4.68,,,76.75,,Rain,-4.4,42853,Germany
2.2,6.7,21.8,21.0,2021-12-23T00:00:00+01:00,,,-0.7,1640217600000,1.91,,,80.19,,Rain,-5.8,46282,Germany
-3.0,6.0,18.7,20.5,2021-12-23T00:00:00+01:00,,,-9.1,1640217600000,1.21,,,85.92,,Rain,-7.7,85435,Germany
-1.7,0.6,14.0,16.4,2021-12-23T00:00:00+01:00,,,-4.0,1640217600000,3.89,,,88.38,,Rain,-8.7,28221,Germany
-1.6,-0.5,9.2,15.0,2021-12-23T00:00:00+01:00,,,-2.9,1640217600000,5.27,,,87.97,,Rain,-7.3,17033,Germany
-4.2,-1.0,5.1,30.9,2021-12-23T00:00:00+01:00,,,-6.2,1640217600000,1.21,,,89.74,,Rain,-13.4,98544,Germany
1.7,6.8,23.1,21.9,2021-12-23T00:00:00+01:00,,,-2.2,1640217600000,1.98,,,86.41,,Rain,-6.5,44137,Germany
-0.3,6.6,23.1,23.1,2021-12-23T00:00:00+01:00,,5.2,-8.4,1640217600000,0.0,,,71.94,,Clear,-11.8,87700,Germany
2.1,7.1,19.3,22.5,2021-12-23T00:00:00+01:00,,0.0,-1.1,1640217600000,1.51,,,82.4,32.4,Rain,-6.3,41061,Germany
-0.3,6.9,16.2,18.5,2021-12-23T00:00:00+01:00,,,-5.2,1640217600000,0.06,,,83.12,,Rain,-8.4,69115,Germany
-1.1,2.0,9.3,14.7,2021-12-23T00:00:00+01:00,,,-3.4,1640217600000,8.79,,,91.2,,Rain,-8.1,21029,Germany
-0.8,6.2,11.9,15.8,2021-12-23T00:00:00+01:00,,,-4.2,1640217600000,0.17,,,85.29,,Rain,-7.5,63450,Germany
1.5,6.6,23.2,16.5,2021-12-23T00:00:00+01:00,,,-3.2,1640217600000,2.31,,,85.21,,Rain,-6.5,59557,Germany
-0.1,6.0,14.0,16.5,2021-12-23T00:00:00+01:00,,0.0,-6.1,1640217600000,0.0,,,88.35,,Clear,-9.1,66424,Germany
