temp,maxt,visibility,wspd,datetimeStr,heatindex,cloudcover,mint,datetime,precip,weathertype,snowdepth,humidity,wgust,conditions,windchill,Zipcode,Country
0.4,4.3,27.0,9.0,2021-12-20T00:00:00+01:00,,0.0,-3.1,1639958400000,0.0,,,86.01,,Clear,-0.9,37073,Germany
3.0,6.3,26.6,11.9,2021-12-20T00:00:00+01:00,,1.7,-1.8,1639958400000,0.01,,,81.97,,Rain,-4.2,42853,Germany
3.6,6.2,30.9,13.8,2021-12-20T00:00:00+01:00,,3.5,-1.0,1639958400000,0.0,,,81.73,,Clear,-3.8,46282,Germany
0.4,3.5,22.3,19.0,2021-12-20T00:00:00+01:00,,3.4,-4.0,1639958400000,0.05,,,89.29,,Rain,-4.4,85435,Germany
0.5,2.7,39.0,18.1,2021-12-20T00:00:00+01:00,,1.9,-1.0,1639958400000,0.0,,,88.02,,Clear,-5.3,28221,Germany
0.9,3.3,44.4,22.5,2021-12-20T00:00:00+01:00,,0.3,-0.6,1639958400000,0.0,,,85.02,,Clear,-4.8,17033,Germany
-2.3,0.4,28.0,16.5,2021-12-20T00:00:00+01:00,,0.7,-4.9,1639958400000,0.0,,,85.3,,Clear,-9.2,98544,Germany
2.5,6.0,15.6,9.1,2021-12-20T00:00:00+01:00,,1.5,-2.2,1639958400000,0.0,,,86.42,,Clear,-4.4,44137,Germany
-0.9,1.3,15.5,12.5,2021-12-20T00:00:00+01:00,,1.9,-3.0,1639958400000,0.0,,,91.19,,Clear,-6.1,87700,Germany
4.4,7.3,38.4,11.9,2021-12-20T00:00:00+01:00,,3.7,-1.2,1639958400000,0.01,,,82.22,14.4,Rain,-3.5,41061,Germany
2.9,6.1,22.1,9.7,2021-12-20T00:00:00+01:00,,2.0,-1.6,1639958400000,0.0,,,85.02,,Clear,-3.6,69115,Germany
-0.4,3.7,31.8,9.6,2021-12-20T00:00:00+01:00,,1.0,-2.9,1639958400000,0.0,,,86.75,,Clear,-4.5,21029,Germany
3.0,5.8,32.6,13.0,2021-12-20T00:00:00+01:00,,0.8,-2.3,1639958400000,0.0,,,78.6,,Clear,-5.1,63450,Germany
1.6,5.5,7.3,8.3,2021-12-20T00:00:00+01:00,,1.6,-2.0,1639958400000,0.0,,,92.89,,Clear,0.6,59557,Germany
3.0,5.8,26.1,12.9,2021-12-20T00:00:00+01:00,,4.2,-3.2,1639958400000,0.0,,,80.8,,Clear,-7.0,66424,Germany
3.4,5.8,33.1,12.8,2021-12-20T00:00:00+01:00,,1.7,-1.3,1639958400000,0.0,,,75.25,,Clear,-3.9,60388,Germany
0.2,3.1,41.8,20.5,2021-12-20T00:00:00+01:00,,2.3,-3.3,1639958400000,0.0,,,83.15,,Clear,-6.5,99099,Germany
0.4,3.6,7.3,8.8,2021-12-20T00:00:00+01:00,,0.7,-3.4,1639958400000,0.0,,,94.0,,Clear,0.3,32052,Germany
3.2,5.8,29.8,13.8,2021-12-20T00:00:00+01:00,,2.7,-1.5,1639958400000,0.0,,,82.0,,Clear,-4.4,44787,Germany
4.4,7.3,38.4,12.2,2021-12-20T00:00:00+01:00,,3.9,-1.2,1639958400000,0.0,,,82.17,14.4,Clear,-3.5,41065,Germany
0.0,2.1,13.8,11.3,2021-12-20T00:00:00+01:00,,3.7,-3.3,1639958400000,0.14,,,94.13,,Rain,-6.5,72202,Germany
0.0,2.7,20.3,9.9,2021-12-20T00:00:00+01:00,,0.0,-3.6,1639958400000,0.0,,,91.88,,Clear,-7.1,89250,Germany
1.1,3.7,22.0,17.6,2021-12-20T00:00:00+01:00,,37.6,-3.1,1639958400000,0.91,Light Rain,,84.57,,"Rain, Partially cloudy",-5.1,93073,Germany
0.5,2.8,39.0,18.0,2021-12-20T00:00:00+01:00,,1.9,-1.0,1639958400000,0.0,,,87.83,,Clear,-5.2,10179,Germany
1.8,4.3,18.7,9.9,2021-12-20T00:00:00+01:00,,2.2,-2.3,1639958400000,0.09,,,88.86,,Rain,-1.5,71332,Germany
1.1,2.9,11.1,18.3,2021-12-20T00:00:00+01:00,,41.7,-1.0,1639958400000,0.0,,,84.89,,Partially cloudy,-4.8,12351,Germany
3.6,5.6,18.7,12.6,2021-12-20T00:00:00+01:00,,1.1,-0.7,1639958400000,0.0,,,74.18,,Clear,-2.8,55128,Germany
0.9,4.5,21.4,8.3,2021-12-20T00:00:00+01:00,,3.9,-4.3,1639958400000,0.11,,,91.69,,Rain,-5.2,73230,Germany
0.6,2.8,37.2,18.2,2021-12-20T00:00:00+01:00,,1.0,-0.9,1639958400000,0.0,,,87.99,,Clear,-5.3,13507,Germany
2.3,5.0,37.5,12.2,2021-12-20T00:00:00+01:00,,0.0,-2.6,1639958400000,0.0,,,79.26,,Clear,-3.0,97080,Germany
-0.5,3.6,32.5,10.2,2021-12-20T00:00:00+01:00,,1.1,-3.1,1639958400000,0.0,,,85.69,,Clear,-4.9,22529,Germany
1.1,3.2,25.0,21.0,2021-12-20T00:00:00+01:00,,0.6,-1.4,1639958400000,0.05,,,84.78,,Rain,-4.1,84030,Germany
-0.7,2.7,37.4,14.1,2021-12-20T00:00:00+01:00,,0.3,-3.9,1639958400000,0.0,,,90.63,,Clear,-7.1,38440,Germany
3.8,6.0,28.7,13.7,2021-12-20T00:00:00+01:00,,1.9,-0.3,1639958400000,0.0,,,78.61,,Clear,-3.1,45326,Germany
4.6,7.0,33.7,14.3,2021-12-20T00:00:00+01:00,,12.7,-1.1,1639958400000,0.08,,,75.43,,Rain,-3.1,50667,Germany
0.5,2.8,41.8,20.5,2021-12-20T00:00:00+01:00,,2.3,-2.0,1639958400000,0.0,,,80.17,,Clear,-5.0,99423,Germany
2.9,5.7,25.6,10.0,2021-12-20T00:00:00+01:00,,2.6,-2.1,1639958400000,0.0,,,83.06,,Clear,-4.1,64646,Germany
4.4,7.2,36.1,12.7,2021-12-20T00:00:00+01:00,,3.5,-0.9,1639958400000,0.01,,,81.53,14.4,Rain,-3.5,47803,Germany
-0.4,3.4,33.2,10.1,2021-12-20T00:00:00+01:00,,0.3,-2.3,1639958400000,0.0,,,86.8,,Clear,-5.2,21339,Germany
2.8,5.5,16.2,14.7,2021-12-20T00:00:00+01:00,,3.2,-2.6,1639958400000,0.0,,,81.94,,Clear,-6.6,67663,Germany
1.4,4.1,24.4,14.4,2021-12-20T00:00:00+01:00,,0.0,-3.1,1639958400000,0.0,,,79.92,,Clear,-8.0,57076,Germany
0.8,3.4,22.9,12.3,2021-12-20T00:00:00+01:00,,1.5,-1.7,1639958400000,0.18,,,85.37,,Rain,-4.4,80331,Germany
0.1,2.5,22.0,11.7,2021-12-20T00:00:00+01:00,,0.0,-2.8,1639958400000,0.09,,,88.96,,Rain,-5.7,81477,Germany
-0.5,6.1,16.0,8.5,2021-12-20T00:00:00-05:00,,3.4,-5.9,1639958400000,0.0,,0.0,84.63,,Clear,-0.8,4209,Germany
0.6,3.2,22.8,12.7,2021-12-20T00:00:00+01:00,,2.0,-2.0,1639958400000,0.15,,,86.93,,Rain,-4.7,85757,Germany
3.3,4.8,23.1,10.3,2021-12-20T00:00:00+01:00,,68.6,-1.0,1639958400000,0.19,"Mist, Fog, Light Rain",,86.06,18.0,"Rain, Partially cloudy",-3.7,52062,Germany
-2.5,4.0,16.0,8.5,2021-12-20T00:00:00-05:00,,0.8,-7.6,1639958400000,0.0,,0.0,65.4,,Clear,-11.9,1069,Germany
0.1,3.6,15.7,8.6,2021-12-20T00:00:00+01:00,,4.4,-2.1,1639958400000,0.0,Mist,,88.96,,Clear,-5.1,88212,Germany
4.3,6.9,32.8,13.9,2021-12-20T00:00:00+01:00,,4.9,-0.3,1639958400000,0.0,,,80.01,,Clear,-2.9,47051,Germany
-0.6,3.1,17.6,11.3,2021-12-20T00:00:00+01:00,,0.5,-3.7,1639958400000,0.0,,,90.43,,Clear,-5.5,31228,Germany
4.5,7.0,33.3,14.5,2021-12-20T00:00:00+01:00,,12.8,-1.2,1639958400000,0.07,,,75.81,,Rain,-3.2,51103,Germany
0.1,3.6,7.2,8.1,2021-12-20T00:00:00+01:00,,0.8,-3.2,1639958400000,0.0,,,94.18,,Clear,-1.7,32457,Germany
3.1,6.1,24.2,9.7,2021-12-20T00:00:00+01:00,,2.6,-1.4,1639958400000,0.0,,,83.71,,Clear,-3.0,69469,Germany
0.5,4.8,19.4,9.5,2021-12-20T00:00:00+01:00,,0.5,-2.3,1639958400000,0.0,,,92.49,,Clear,1.3,26121,Germany
