temp,maxt,visibility,wspd,datetimeStr,heatindex,cloudcover,mint,datetime,precip,weathertype,snowdepth,humidity,wgust,conditions,windchill,Zipcode,Country
-3.7,0.8,24.3,22.7,2021-12-25T00:00:00+01:00,,0.0,-9.0,1640390400000,1.21,,,75.12,,Rain,-13.0,37073,Germany
0.8,4.9,11.5,18.1,2021-12-25T00:00:00+01:00,,2.0,-2.5,1640390400000,5.93,,,88.32,,Rain,-6.8,42853,Germany
0.2,4.3,24.0,20.9,2021-12-25T00:00:00+01:00,,0.0,-2.9,1640390400000,1.51,,,78.43,,Rain,-7.8,46282,Germany
5.7,8.1,22.0,16.5,2021-12-25T00:00:00+01:00,,,1.4,1640390400000,5.63,,,93.58,,Rain,-1.7,85435,Germany
-6.5,-2.9,31.9,13.8,2021-12-25T00:00:00+01:00,,0.1,-8.9,1640390400000,0.01,,,84.78,,Rain,-12.2,28221,Germany
-8.2,-4.2,38.4,14.7,2021-12-25T00:00:00+01:00,,0.0,-12.0,1640390400000,0.0,,,86.43,,Clear,-17.8,17033,Germany
-5.4,-0.4,10.2,21.9,2021-12-25T00:00:00+01:00,,0.0,-8.3,1640390400000,3.58,,,91.59,,Rain,-15.8,98544,Germany
-0.3,3.8,14.2,19.0,2021-12-25T00:00:00+01:00,,0.5,-3.8,1640390400000,0.81,,,76.34,,Rain,-8.5,44137,Germany
5.1,6.5,27.2,18.7,2021-12-25T00:00:00+01:00,,,4.1,1640390400000,0.93,,,90.12,,Rain,0.5,87700,Germany
1.6,5.8,26.3,22.2,2021-12-25T00:00:00+01:00,,0.0,-1.1,1640390400000,5.68,,,84.39,36.0,Rain,-6.4,41061,Germany
5.2,7.3,10.8,13.2,2021-12-25T00:00:00+01:00,,,2.0,1640390400000,11.04,,,96.09,,Rain,-1.0,69115,Germany
-6.3,-1.0,34.7,6.4,2021-12-25T00:00:00+01:00,,2.7,-9.3,1640390400000,0.0,,,85.17,,Clear,-7.9,21029,Germany
2.8,7.0,8.8,14.0,2021-12-25T00:00:00+01:00,,,0.1,1640390400000,6.47,,,94.92,,Rain,-3.2,63450,Germany
-1.2,2.3,24.3,20.3,2021-12-25T00:00:00+01:00,,0.5,-4.7,1640390400000,0.99,,,73.62,,Rain,-10.8,59557,Germany
6.0,8.4,8.6,15.2,2021-12-25T00:00:00+01:00,,0.0,1.0,1640390400000,4.56,"Mist, Light Rain",,97.3,,Rain,-2.9,66424,Germany
2.3,6.8,8.2,15.0,2021-12-25T00:00:00+01:00,,,-0.5,1640390400000,5.99,,,94.01,,Rain,-4.2,60388,Germany
-5.1,-0.4,13.1,19.1,2021-12-25T00:00:00+01:00,,,-9.1,1640390400000,2.1,,,91.8,,Rain,-14.5,99099,Germany
-3.3,0.0,22.9,12.7,2021-12-25T00:00:00+01:00,,0.0,-7.1,1640390400000,0.09,,,73.68,,Rain,-10.3,32052,Germany
0.0,4.1,23.7,20.7,2021-12-25T00:00:00+01:00,,0.0,-3.2,1640390400000,2.24,,,81.41,,Rain,-8.3,44787,Germany
1.5,5.8,26.3,22.5,2021-12-25T00:00:00+01:00,,0.0,-1.1,1640390400000,5.61,,,84.38,36.0,Rain,-6.5,41065,Germany
6.2,7.6,16.0,15.2,2021-12-25T00:00:00+01:00,,,4.1,1640390400000,7.63,,,95.55,,Rain,2.4,72202,Germany
5.2,6.9,7.4,14.7,2021-12-25T00:00:00+01:00,,,2.7,1640390400000,5.48,,,95.75,,Rain,-0.8,89250,Germany
2.4,5.0,15.8,10.6,2021-12-25T00:00:00+01:00,,100.0,-0.8,1640390400000,11.42,"Mist, Light Drizzle, Rain, Fog, Light Rain, Light Freezing Drizzle/Freezing Rain, Light Freezing Rain",,94.47,,"Rain, Overcast",-3.8,93073,Germany
-6.6,-2.9,31.9,13.6,2021-12-25T00:00:00+01:00,,0.1,-8.9,1640390400000,0.01,,,84.77,,Rain,-12.3,10179,Germany
6.5,8.9,14.3,10.1,2021-12-25T00:00:00+01:00,,,2.7,1640390400000,8.23,,,95.4,,Rain,0.0,71332,Germany
-6.1,-1.3,10.1,14.6,2021-12-25T00:00:00+01:00,,1.3,-9.8,1640390400000,0.0,,,81.0,,Clear,-13.0,12351,Germany
3.0,7.2,11.8,15.9,2021-12-25T00:00:00+01:00,,0.0,-0.1,1640390400000,3.02,"Mist, Light Rain",,95.65,,Rain,-4.6,55128,Germany
6.9,8.6,17.0,9.4,2021-12-25T00:00:00+01:00,,,4.9,1640390400000,9.47,,,97.18,,Rain,3.4,73230,Germany
-6.6,-2.8,,14.4,2021-12-25T00:00:00+01:00,,0.0,-8.9,1640390400000,0.01,,,84.92,,Rain,-12.1,13507,Germany
2.2,6.2,13.1,16.9,2021-12-25T00:00:00+01:00,,,-0.6,1640390400000,7.87,,,96.11,,Rain,-5.4,97080,Germany
-6.0,-0.6,33.7,7.0,2021-12-25T00:00:00+01:00,,3.5,-9.1,1640390400000,0.0,,,85.19,,Clear,-9.5,22529,Germany
4.2,6.0,15.7,12.1,2021-12-25T00:00:00+01:00,,,0.3,1640390400000,11.13,,,98.58,,Rain,-2.7,84030,Germany
