temp,maxt,visibility,wspd,datetimeStr,heatindex,cloudcover,mint,datetime,precip,weathertype,snowdepth,humidity,wgust,conditions,windchill,Zipcode,Country
3.3,5.0,10.0,16.6,2021-12-05T00:00:00+01:00,,63.7,1.0,1638662400000.0,0.0,,,79.78,,Partially cloudy,-2.8,37073,Germany
4.1,6.0,10.0,19.0,2021-12-05T00:00:00+01:00,,69.8,2.5,1638662400000.0,0.0,,,84.17,,Partially cloudy,-0.6,42853,Germany
4.1,5.6,9.9,19.0,2021-12-05T00:00:00+01:00,,74.8,3.1,1638662400000.0,0.0,,,86.57,,Partially cloudy,-0.1,46282,Germany
2.1,6.0,10.0,27.7,2021-12-05T00:00:00+01:00,,71.4,-1.0,1638662400000.0,0.0,,,87.39,,Partially cloudy,-3.0,85435,Germany
0.5,1.0,3.9,14.8,2021-12-05T00:00:00+01:00,,91.0,0.0,1638662400000.0,0.0,,,96.53,,Overcast,-4.4,28221,Germany
,,,,,,,,,0.0,,,,,,,17033,Germany
2.7,4.0,10.0,25.9,2021-12-05T00:00:00+01:00,,68.7,1.0,1638662400000.0,0.0,,,82.98,,Partially cloudy,-3.1,98544,Germany
4.0,5.0,10.0,25.2,2021-12-05T00:00:00+01:00,,80.7,2.1,1638662400000.0,0.0,,,85.3,,Overcast,-0.8,44137,Germany
1.3,3.0,10.0,27.7,2021-12-05T00:00:00+01:00,,86.5,-1.0,1638662400000.0,0.0,,,88.41,,Overcast,-3.8,87700,Germany
3.8,6.0,9.5,16.5,2021-12-05T00:00:00+01:00,,80.4,2.0,1638662400000.0,0.0,,,89.22,,Overcast,-0.3,41061,Germany
4.1,6.0,10.0,16.6,2021-12-05T00:00:00+01:00,,80.2,2.5,1638662400000.0,0.0,,,81.38,,Overcast,-0.6,69115,Germany
1.0,1.8,6.0,15.3,2021-12-05T00:00:00+01:00,,89.7,-0.1,1638662400000.0,0.0,,,97.24,,Overcast,-3.4,21029,Germany
3.9,6.0,10.0,16.6,2021-12-05T00:00:00+01:00,,62.1,3.0,1638662400000.0,0.0,,,84.77,,Partially cloudy,-1.0,63450,Germany
2.8,4.1,10.0,24.5,2021-12-05T00:00:00+01:00,,62.4,1.4,1638662400000.0,0.0,,,83.46,,Partially cloudy,-1.8,59557,Germany
3.3,9.7,9.9,22.0,2021-12-05T00:00:00+01:00,,84.2,0.5,1638662400000.0,0.0,,,93.4,,Overcast,-1.1,66424,Germany
3.9,6.0,10.0,16.6,2021-12-05T00:00:00+01:00,,62.1,3.0,1638662400000.0,0.0,,,84.77,,Partially cloudy,-1.0,60388,Germany
2.7,4.0,10.0,25.9,2021-12-05T00:00:00+01:00,,68.7,1.0,1638662400000.0,0.0,,,82.98,,Partially cloudy,-3.1,99099,Germany
3.4,4.7,9.8,19.3,2021-12-05T00:00:00+01:00,,70.5,2.1,1638662400000.0,0.0,,,85.58,,Partially cloudy,-0.9,32052,Germany
