temp,maxt,visibility,wspd,datetimeStr,heatindex,cloudcover,mint,datetime,precip,weathertype,snowdepth,humidity,wgust,conditions,windchill,Zipcode,Country
6.0,7.8,5.9,6.6,2021-12-16T00:00:00+01:00,,,3.2,1639612800000,0.3,,,98.82,,Rain,3.0,37073,Germany
8.2,8.8,2.6,7.5,2021-12-16T00:00:00+01:00,,,7.1,1639612800000,0.0,,,94.41,,Clear,5.8,42853,Germany
8.1,8.6,1.6,7.3,2021-12-16T00:00:00+01:00,,,7.2,1639612800000,0.0,,,96.37,,Clear,6.1,46282,Germany
3.1,4.4,15.4,12.4,2021-12-16T00:00:00+01:00,,13.0,2.2,1639612800000,0.1,,,91.83,,Rain,0.1,85435,Germany
7.0,8.8,17.2,21.8,2021-12-16T00:00:00+01:00,,2.6,4.1,1639612800000,0.08,,,91.84,,Rain,0.4,28221,Germany
7.0,8.7,23.5,25.5,2021-12-16T00:00:00+01:00,,1.2,4.2,1639612800000,0.0,,,89.75,,Clear,0.0,17033,Germany
3.3,4.2,1.9,14.1,2021-12-16T00:00:00+01:00,,,2.5,1639612800000,0.5,,,96.05,,Rain,-0.7,98544,Germany
8.5,9.1,3.4,9.9,2021-12-16T00:00:00+01:00,,,7.4,1639612800000,0.0,,,94.03,,Clear,6.3,44137,Germany
0.9,2.8,14.5,9.3,2021-12-16T00:00:00+01:00,,4.3,-0.2,1639612800000,0.0,,,93.52,,Clear,-2.7,87700,Germany
7.8,8.8,3.0,6.5,2021-12-16T00:00:00+01:00,,0.0,5.5,1639612800000,0.0,,,97.28,14.4,Clear,4.6,41061,Germany
6.2,8.8,18.5,6.9,2021-12-16T00:00:00+01:00,,0.0,3.8,1639612800000,0.0,,,87.05,,Clear,2.6,69115,Germany
8.1,9.2,19.5,18.0,2021-12-16T00:00:00+01:00,,,6.6,1639612800000,0.03,,,89.69,,Rain,3.5,21029,Germany
7.2,8.6,19.0,8.6,2021-12-16T00:00:00+01:00,,,5.9,1639612800000,0.0,,,87.88,,Clear,4.8,63450,Germany
8.4,9.1,3.0,9.7,2021-12-16T00:00:00+01:00,,,7.6,1639612800000,0.31,,,93.36,,Rain,6.1,59557,Germany
6.4,10.1,18.7,10.2,2021-12-16T00:00:00+01:00,,4.5,3.9,1639612800000,0.0,,,89.11,,Clear,1.5,66424,Germany
7.3,8.7,17.8,8.7,2021-12-16T00:00:00+01:00,,,6.1,1639612800000,0.0,,,85.15,,Clear,5.0,60388,Germany
