temp,maxt,visibility,wspd,datetimeStr,heatindex,cloudcover,mint,datetime,precip,weathertype,snowdepth,humidity,wgust,conditions,windchill,Zipcode,Country
1.7,4.1,37.7,18.6,2021-12-10T00:00:00+01:00,,9.8,-2.8,1639094400000,0.0,,,85.99,,Clear,-4.1,37073,Germany
2.7,4.2,38.2,21.1,2021-12-10T00:00:00+01:00,,,-0.3,1639094400000,0.01,,,79.72,,Rain,-2.1,42853,Germany
2.9,5.0,39.6,24.1,2021-12-10T00:00:00+01:00,,,-0.5,1639094400000,0.04,,,79.18,,Rain,-2.8,46282,Germany
-0.5,1.8,32.0,21.0,2021-12-10T00:00:00+01:00,,2.6,-3.5,1639094400000,2.59,,,86.66,,Rain,-6.5,85435,Germany
-0.7,0.2,1.7,10.1,2021-12-10T00:00:00+01:00,,,-1.5,1639094400000,1.25,,,96.52,,Rain,-4.0,28221,Germany
-1.2,-0.5,2.2,8.9,2021-12-10T00:00:00+01:00,,,-1.8,1639094400000,4.2,,,95.31,,Rain,-5.0,17033,Germany
-2.4,-1.2,10.8,28.3,2021-12-10T00:00:00+01:00,,,-4.0,1639094400000,0.16,,,93.69,,Rain,-9.4,98544,Germany
2.0,5.0,39.0,19.0,2021-12-10T00:00:00+01:00,,0.0,-2.6,1639094400000,0.01,,,80.94,,Rain,-2.6,44137,Germany
-3.4,1.3,22.6,25.5,2021-12-10T00:00:00+01:00,,3.8,-9.9,1639094400000,0.5,,,89.65,,Rain,-12.8,87700,Germany
3.4,4.6,38.5,29.2,2021-12-10T00:00:00+01:00,,,1.6,1639094400000,0.13,,,82.28,,Rain,-2.4,41061,Germany
1.9,3.6,27.7,17.3,2021-12-10T00:00:00+01:00,,4.3,-0.5,1639094400000,2.19,,,87.98,,Rain,-3.7,69115,Germany
1.7,2.7,8.7,14.4,2021-12-10T00:00:00+01:00,,,0.9,1639094400000,0.01,,,90.2,,Rain,-2.7,21029,Germany
2.4,3.6,22.2,13.7,2021-12-10T00:00:00+01:00,,,1.3,1639094400000,0.95,,,86.12,,Rain,-1.5,63450,Germany
1.5,5.0,40.7,17.6,2021-12-10T00:00:00+01:00,,5.2,-2.6,1639094400000,0.0,,,82.19,,Clear,-3.1,59557,Germany
1.6,3.7,19.4,26.8,2021-12-10T00:00:00+01:00,,,0.0,1639094400000,3.14,,,91.17,,Rain,-4.3,66424,Germany
2.2,3.3,21.6,13.8,2021-12-10T00:00:00+01:00,,,1.1,1639094400000,1.1,,,86.69,,Rain,-2.1,60388,Germany
0.5,3.6,40.0,17.6,2021-12-10T00:00:00+01:00,,,-2.5,1639094400000,0.0,,,86.09,,Clear,-5.8,99099,Germany
2.2,4.2,40.4,15.3,2021-12-10T00:00:00+01:00,,5.5,-1.6,1639094400000,0.0,,,81.82,,Clear,-2.0,32052,Germany
2.6,4.6,39.8,23.5,2021-12-10T00:00:00+01:00,,,-0.8,1639094400000,0.03,,,79.1,,Rain,-3.2,44787,Germany
3.4,4.6,38.5,29.2,2021-12-10T00:00:00+01:00,,,1.5,1639094400000,0.12,,,82.21,,Rain,-2.4,41065,Germany
-0.5,1.5,19.3,21.9,2021-12-10T00:00:00+01:00,,6.5,-2.4,1639094400000,2.89,,,88.65,,Rain,-6.6,72202,Germany
-2.1,1.4,15.7,20.0,2021-12-10T00:00:00+01:00,,,-7.0,1639094400000,1.53,,,91.93,,Rain,-10.0,89250,Germany
0.3,2.0,15.7,13.4,2021-12-10T00:00:00+01:00,,4.3,-0.7,1639094400000,1.39,,,90.22,,Rain,-4.1,93073,Germany
-0.7,0.2,1.7,9.7,2021-12-10T00:00:00+01:00,,,-1.5,1639094400000,1.39,,,96.44,,Rain,-3.9,10179,Germany
1.2,3.2,31.2,15.0,2021-12-10T00:00:00+01:00,,0.0,-1.3,1639094400000,0.38,,,82.97,,Rain,-5.1,71332,Germany
-0.5,0.0,2.1,10.9,2021-12-10T00:00:00+01:00,,92.5,-1.1,1639094400000,1.28,,,96.73,,"Rain, Overcast",-3.8,12351,Germany
1.1,3.3,26.6,12.4,2021-12-10T00:00:00+01:00,,,-0.1,1639094400000,2.97,,,92.91,,Rain,-2.4,55128,Germany
1.7,3.8,34.1,17.1,2021-12-10T00:00:00+01:00,,0.0,-2.1,1639094400000,0.12,,,78.96,,Rain,-4.8,73230,Germany
-0.6,0.2,1.7,9.9,2021-12-10T00:00:00+01:00,,,-1.4,1639094400000,1.04,,,96.49,,Rain,-4.1,13507,Germany
1.3,2.8,23.5,22.3,2021-12-10T00:00:00+01:00,,,-0.3,1639094400000,0.68,,,89.15,,Rain,-4.6,97080,Germany
1.9,2.8,9.0,16.0,2021-12-10T00:00:00+01:00,,,0.7,1639094400000,0.0,,,89.82,,Clear,-2.6,22529,Germany
-0.6,0.6,22.7,16.0,2021-12-10T00:00:00+01:00,,2.9,-2.5,1639094400000,1.76,,,90.46,,Rain,-6.0,84030,Germany
0.8,2.1,3.5,6.9,2021-12-10T00:00:00+01:00,,4.3,-0.1,1639094400000,0.0,,,90.44,,Clear,-2.0,38440,Germany
3.0,4.5,39.9,23.0,2021-12-10T00:00:00+01:00,,,0.7,1639094400000,0.07,,,77.59,,Rain,-1.9,45326,Germany
3.6,4.7,32.6,25.9,2021-12-10T00:00:00+01:00,,,2.4,1639094400000,0.02,,,79.13,,Rain,-1.6,50667,Germany
0.7,3.1,40.0,17.6,2021-12-10T00:00:00+01:00,,,-1.6,1639094400000,0.0,,,86.2,,Clear,-4.8,99423,Germany
1.7,3.2,27.0,20.1,2021-12-10T00:00:00+01:00,,,-0.6,1639094400000,1.57,,,88.91,,Rain,-4.5,64646,Germany
3.4,4.8,38.9,27.2,2021-12-10T00:00:00+01:00,,,1.3,1639094400000,0.03,,,81.37,,Rain,-2.2,47803,Germany
1.2,3.4,14.5,12.2,2021-12-10T00:00:00+01:00,,0.0,0.3,1639094400000,0.0,,,89.6,,Clear,-2.9,21339,Germany
1.8,3.5,10.8,38.9,2021-12-10T00:00:00+01:00,,,-0.2,1639094400000,1.36,,,86.77,,Rain,-6.4,67663,Germany
1.1,1.9,21.6,30.6,2021-12-10T00:00:00+01:00,,,0.3,1639094400000,0.0,,,84.24,,Clear,-5.4,57076,Germany
0.2,2.2,34.4,18.4,2021-12-10T00:00:00+01:00,,0.1,-2.3,1639094400000,3.43,,,80.6,,Rain,-6.4,80331,Germany
-1.1,1.7,29.0,18.2,2021-12-10T00:00:00+01:00,,0.0,-5.3,1639094400000,3.7,,,85.79,,Rain,-10.2,81477,Germany
11.2,14.1,15.8,9.0,2021-12-10T00:00:00-05:00,,99.9,7.6,1639094400000,6.5,,,76.82,,"Rain, Overcast",8.2,4209,Germany
-0.1,2.1,34.6,18.8,2021-12-10T00:00:00+01:00,,0.2,-3.1,1639094400000,3.3,,,82.36,,Rain,-7.0,85757,Germany
2.1,3.3,20.9,24.1,2021-12-10T00:00:00+01:00,,,0.2,1639094400000,4.68,,,87.49,,Rain,-2.8,52062,Germany
6.0,9.7,16.0,11.6,2021-12-10T00:00:00-05:00,,76.2,2.5,1639094400000,0.0,,,60.17,,Overcast,-0.5,1069,Germany
-1.4,2.5,18.6,25.2,2021-12-10T00:00:00+01:00,,5.2,-5.8,1639094400000,2.1,,,91.73,,Rain,-8.8,88212,Germany
3.5,4.9,39.3,25.1,2021-12-10T00:00:00+01:00,,,0.7,1639094400000,0.04,,,79.18,,Rain,-1.6,47051,Germany
1.4,3.0,31.2,14.7,2021-12-10T00:00:00+01:00,,2.7,-1.0,1639094400000,0.02,,,86.98,,Rain,-3.6,31228,Germany
3.5,4.6,32.3,26.1,2021-12-10T00:00:00+01:00,,,2.3,1639094400000,0.03,,,79.43,,Rain,-1.7,51103,Germany
2.2,4.4,40.0,14.8,2021-12-10T00:00:00+01:00,,6.0,-1.9,1639094400000,0.0,,,82.31,,Clear,-1.8,32457,Germany
2.0,3.5,28.4,19.6,2021-12-10T00:00:00+01:00,,4.3,-0.6,1639094400000,1.58,,,87.56,,Rain,-3.6,69469,Germany
3.3,4.8,25.6,17.6,2021-12-10T00:00:00+01:00,,6.5,0.8,1639094400000,0.0,,,86.98,,Clear,-0.8,26121,Germany
-1.2,-0.6,2.9,8.5,2021-12-10T00:00:00+01:00,,13.0,-1.6,1639094400000,5.34,,,93.19,,Rain,-4.4,18437,Germany
-0.7,0.2,1.7,9.6,2021-12-10T00:00:00+01:00,,,-1.5,1639094400000,1.29,,,96.48,,Rain,-4.0,13357,Germany
1.9,2.8,8.9,15.4,2021-12-10T00:00:00+01:00,,,0.9,1639094400000,0.01,,,89.69,,Rain,-2.6,20095,Germany
1.8,2.8,8.6,13.9,2021-12-10T00:00:00+01:00,,,0.7,1639094400000,0.0,,,90.11,,Clear,-2.3,22850,Germany
3.2,4.6,39.0,26.3,2021-12-10T00:00:00+01:00,,,0.4,1639094400000,0.03,,,79.36,,Rain,-1.9,40721,Germany
-0.5,0.4,1.7,14.7,2021-12-10T00:00:00+01:00,,0.0,-1.4,1639094400000,0.0,,,98.19,,Clear,-4.8,14473,Germany
-0.6,0.8,13.8,15.5,2021-12-10T00:00:00+01:00,,2.2,-2.9,1639094400000,1.56,,,91.22,,Rain,-6.0,94315,Germany
-1.9,1.0,15.7,19.2,2021-12-10T00:00:00+01:00,,0.0,-6.4,1639094400000,1.3,,,92.63,,Rain,-9.9,89077,Germany
1.5,3.2,33.6,19.4,2021-12-10T00:00:00+01:00,,,-0.9,1639094400000,0.34,,,76.21,,Rain,-3.5,72762,Germany
0.8,1.8,22.1,23.2,2021-12-10T00:00:00+01:00,,0.0,-0.7,1639094400000,0.48,,,89.0,,Rain,-5.1,90403,Germany
-1.3,1.7,,,2021-12-10T00:00:00+01:00,,,-6.2,1639094400000,1.64,,,88.62,,Rain,,83026,Germany
0.4,2.3,34.8,18.4,2021-12-10T00:00:00+01:00,,0.1,-2.1,1639094400000,3.38,,,80.26,,Rain,-6.0,80993,Germany
3.4,4.8,38.8,27.4,2021-12-10T00:00:00+01:00,,,1.2,1639094400000,0.03,,,81.31,,Rain,-2.2,47798,Germany
1.8,4.4,41.1,14.4,2021-12-10T00:00:00+01:00,,5.9,-2.6,1639094400000,0.0,,,81.96,,Clear,-2.3,33098,Germany
2.0,4.7,31.4,31.0,2021-12-10T00:00:00+01:00,,0.5,-0.8,1639094400000,0.58,,,87.63,,Rain,-3.2,76137,Germany
1.9,3.7,19.3,25.0,2021-12-10T00:00:00+01:00,,,0.5,1639094400000,2.81,,,90.22,,Rain,-4.1,66740,Germany
2.3,4.4,15.5,27.8,2021-12-10T00:00:00+01:00,,,-1.2,1639094400000,3.0,,,80.23,,Rain,-3.4,79115,Germany
1.7,2.9,12.3,20.1,2021-12-10T00:00:00+01:00,,,0.4,1639094400000,0.16,,,88.85,,Rain,-3.5,65549,Germany
1.6,3.8,26.1,21.2,2021-12-10T00:00:00+01:00,,7.8,-0.3,1639094400000,2.68,,,84.21,,Rain,-3.6,74076,Germany
-0.5,0.4,1.7,14.4,2021-12-10T00:00:00+01:00,,,-1.4,1639094400000,0.02,,,98.05,,Rain,-4.7,14480,Germany
21.9,28.0,8.1,12.1,2021-12-10T00:00:00-05:00,29.8,43.7,17.3,1639094400000,0.0,,,87.16,,Partially cloudy,,9111,Germany
1.8,3.5,26.8,16.4,2021-12-10T00:00:00+01:00,,4.3,-0.5,1639094400000,2.48,,,88.49,,Rain,-3.8,69126,Germany
1.9,2.7,20.9,27.0,2021-12-10T00:00:00+01:00,,,0.7,1639094400000,1.47,,,85.28,,Rain,-3.1,52349,Germany
2.5,4.6,15.8,27.3,2021-12-10T00:00:00+01:00,,,-1.0,1639094400000,2.89,,,79.65,,Rain,-3.0,79098,Germany
2.1,3.7,26.6,20.1,2021-12-10T00:00:00+01:00,,4.3,-0.7,1639094400000,1.51,,,87.35,,Rain,-3.7,68161,Germany
2.1,5.0,33.5,31.4,2021-12-10T00:00:00+01:00,,0.2,-0.8,1639094400000,0.53,,,87.67,,Rain,-2.9,76135,Germany
2.0,4.9,39.1,18.9,2021-12-10T00:00:00+01:00,,0.0,-2.4,1639094400000,0.01,,,80.67,,Rain,-2.6,44149,Germany
1.3,3.8,30.5,15.6,2021-12-10T00:00:00+01:00,,4.9,-1.0,1639094400000,0.35,,,84.62,,Rain,-4.8,71634,Germany
2.6,3.6,22.0,13.6,2021-12-10T00:00:00+01:00,,,1.5,1639094400000,1.11,,,85.55,,Rain,-1.6,60313,Germany
1.7,2.7,7.9,11.5,2021-12-10T00:00:00+01:00,,,0.7,1639094400000,0.01,,,90.75,,Rain,-1.9,24558,Germany
2.3,4.4,28.1,15.6,2021-12-10T00:00:00+01:00,,2.5,-0.7,1639094400000,0.08,,,85.21,,Rain,-4.4,30916,Germany
1.3,3.3,32.1,16.6,2021-12-10T00:00:00+01:00,,4.5,-1.1,1639094400000,0.14,,,82.53,,Rain,-5.3,70469,Germany
-0.8,1.7,34.4,18.8,2021-12-10T00:00:00+01:00,,0.3,-4.4,1639094400000,3.55,,,85.01,,Rain,-8.8,81737,Germany
5.0,9.2,11.3,25.6,2021-12-10T00:00:00-05:00,,37.2,2.0,1639094400000,6.75,,0.0,79.66,43.8,"Rain, Partially cloudy",-0.1,1139,Germany
-0.6,1.3,26.6,11.0,2021-12-10T00:00:00+01:00,,3.7,-5.4,1639094400000,0.01,,,88.76,,Rain,-6.9,99734,Germany
-0.1,0.8,16.1,17.8,2021-12-10T00:00:00+01:00,,,-1.6,1639094400000,0.07,,,93.32,,Rain,-6.4,96215,Germany
3.4,4.9,38.7,28.3,2021-12-10T00:00:00+01:00,,,0.1,1639094400000,0.07,,,80.0,,Rain,-1.9,40212,Germany
3.6,4.7,32.8,25.9,2021-12-10T00:00:00+01:00,,,2.5,1639094400000,0.02,,,78.99,,Rain,-1.6,50670,Germany
