temp,maxt,visibility,wspd,datetimeStr,heatindex,cloudcover,mint,datetime,precip,weathertype,snowdepth,humidity,wgust,conditions,windchill,Zipcode,Country
2.0,3.0,9.0,22.3,2021-12-02T00:00:00+01:00,,83.8,1.0,1638403200000.0,0.0,,,86.17,,Overcast,-2.8,37073,Germany
4.1,5.0,9.9,24.7,2021-12-02T00:00:00+01:00,,76.4,3.0,1638403200000.0,0.0,,,87.48,44.6,Overcast,-1.2,42853,Germany
3.7,4.8,9.8,19.1,2021-12-02T00:00:00+01:00,,86.7,2.4,1638403200000.0,0.0,,,87.81,44.6,Overcast,-1.6,46282,Germany
4.7,6.0,10.0,33.5,2021-12-02T00:00:00+01:00,,69.0,3.0,1638403200000.0,0.0,,,81.88,,Partially cloudy,-1.8,85435,Germany
3.5,7.0,10.0,57.6,2021-12-02T00:00:00+01:00,,52.4,2.0,1638403200000.0,0.0,,,68.5,79.6,Partially cloudy,-4.2,28221,Germany
0.5,1.0,3.8,37.1,2021-12-02T00:00:00+01:00,,91.0,0.0,1638403200000.0,0.0,,,94.88,,Overcast,-7.2,17033,Germany
1.9,4.0,9.5,40.7,2021-12-02T00:00:00+01:00,,62.8,0.0,1638403200000.0,0.0,,,88.71,,Partially cloudy,-4.4,98544,Germany
3.3,4.9,9.7,23.7,2021-12-02T00:00:00+01:00,,94.0,1.1,1638403200000.0,0.0,,,87.9,44.6,Overcast,-3.6,44137,Germany
3.3,5.0,9.5,31.7,2021-12-02T00:00:00+01:00,,88.5,0.0,1638403200000.0,0.0,,,85.87,,Overcast,-3.2,87700,Germany
4.1,5.0,10.0,16.7,2021-12-02T00:00:00+01:00,,77.7,3.0,1638403200000.0,0.0,,,87.89,44.6,Overcast,-1.0,41061,Germany
4.8,6.0,10.0,18.2,2021-12-02T00:00:00+01:00,,85.1,3.9,1638403200000.0,0.0,,,82.32,,Overcast,0.0,69115,Germany
1.8,3.0,9.1,43.7,2021-12-02T00:00:00+01:00,,43.2,0.8,1638403200000.0,0.0,,,75.48,69.5,Partially cloudy,-4.2,21029,Germany
4.6,6.0,10.0,18.4,2021-12-02T00:00:00+01:00,,64.2,4.0,1638403200000.0,0.0,,,85.67,,Partially cloudy,0.0,63450,Germany
2.1,4.1,9.8,20.5,2021-12-02T00:00:00+01:00,,89.4,0.1,1638403200000.0,0.0,,,89.76,38.9,Overcast,-3.5,59557,Germany
3.9,5.3,9.9,20.4,2021-12-02T00:00:00+01:00,,77.6,2.3,1638403200000.0,0.0,,,93.61,,Overcast,-2.1,66424,Germany
4.6,6.0,10.0,18.4,2021-12-02T00:00:00+01:00,,64.2,4.0,1638403200000.0,0.0,,,85.67,,Partially cloudy,0.0,60388,Germany
1.9,4.0,9.5,40.7,2021-12-02T00:00:00+01:00,,62.8,0.0,1638403200000.0,0.0,,,88.71,,Partially cloudy,-4.4,99099,Germany
2.4,4.2,9.6,24.5,2021-12-02T00:00:00+01:00,,81.3,0.5,1638403200000.0,0.0,,,88.94,55.4,Overcast,-2.6,32052,Germany
3.6,5.0,9.8,21.4,2021-12-02T00:00:00+01:00,,92.0,2.0,1638403200000.0,0.0,,,87.34,44.6,Overcast,-2.4,44787,Germany
4.1,5.0,10.0,16.7,2021-12-02T00:00:00+01:00,,77.3,2.9,1638403200000.0,0.0,,,87.97,44.6,Overcast,-1.0,41065,Germany
3.9,5.6,9.8,19.5,2021-12-02T00:00:00+01:00,,80.2,2.6,1638403200000.0,0.0,,,87.19,,Overcast,-1.8,72202,Germany
