temp,maxt,visibility,wspd,datetimeStr,heatindex,cloudcover,mint,datetime,precip,weathertype,snowdepth,humidity,wgust,conditions,windchill,Zipcode,Country
1.6,3.1,9.3,13.0,2022-01-14T00:00:00+01:00,,1.9,-0.3,1642118400000,0.02,,,95.66,,Rain,-3.9,37073,Germany
0.9,3.0,2.0,11.4,2022-01-14T00:00:00+01:00,,0.0,-1.4,1642118400000,0.0,,,94.93,,Clear,-4.9,42853,Germany
1.9,3.1,1.5,12.8,2022-01-14T00:00:00+01:00,,,0.7,1642118400000,0.0,,,98.76,,Clear,-2.8,46282,Germany
-1.0,5.6,14.7,15.1,2022-01-14T00:00:00+01:00,,1.6,-4.6,1642118400000,0.0,,,87.25,,Clear,-7.8,85435,Germany
5.1,6.3,14.1,29.9,2022-01-14T00:00:00+01:00,,0.0,3.3,1642118400000,0.19,,,90.14,,Rain,-0.4,28221,Germany
5.6,7.8,28.1,36.3,2022-01-14T00:00:00+01:00,,4.8,0.9,1642118400000,0.0,,,86.79,,Clear,-2.6,17033,Germany
1.0,2.5,5.8,17.1,2022-01-14T00:00:00+01:00,,1.5,-0.6,1642118400000,0.0,,,85.72,,Clear,-4.8,98544,Germany
2.0,3.2,2.8,12.0,2022-01-14T00:00:00+01:00,,0.0,0.7,1642118400000,0.0,,,98.44,,Clear,-2.4,44137,Germany
-2.0,4.8,17.3,9.6,2022-01-14T00:00:00+01:00,,0.0,-6.4,1642118400000,0.0,,,82.8,,Clear,-9.9,87700,Germany
2.1,3.7,2.1,10.1,2022-01-14T00:00:00+01:00,,0.0,0.2,1642118400000,0.0,,,98.75,18.0,Clear,-2.6,41061,Germany
-1.2,0.7,0.8,7.0,2022-01-14T00:00:00+01:00,,1.3,-2.4,1642118400000,0.0,,,97.24,,Clear,-4.5,69115,Germany
5.8,7.5,15.4,25.3,2022-01-14T00:00:00+01:00,,1.9,1.5,1642118400000,0.15,,,91.35,,Rain,2.3,21029,Germany
-0.3,0.8,2.0,8.3,2022-01-14T00:00:00+01:00,,,-1.3,1642118400000,0.0,,,96.12,,Clear,-3.7,63450,Germany
1.3,3.4,2.5,10.0,2022-01-14T00:00:00+01:00,,1.5,-1.9,1642118400000,0.01,,,96.7,,Rain,-4.1,59557,Germany
0.4,9.0,17.3,9.9,2022-01-14T00:00:00+01:00,,2.2,-3.4,1642118400000,0.0,Mist,,89.02,,Clear,-4.7,66424,Germany
-0.2,0.7,2.6,9.6,2022-01-14T00:00:00+01:00,,0.6,-1.0,1642118400000,0.0,,,95.11,,Clear,-4.1,60388,Germany
1.3,2.1,15.1,27.0,2022-01-14T00:00:00+01:00,,1.0,0.1,1642118400000,0.0,,,89.03,,Clear,-5.2,99099,Germany
2.3,3.6,1.9,14.6,2022-01-14T00:00:00+01:00,,1.6,1.1,1642118400000,0.28,,,98.65,,Rain,-2.4,32052,Germany
1.7,3.0,1.4,13.2,2022-01-14T00:00:00+01:00,,,0.4,1642118400000,0.0,,,97.72,,Clear,-3.1,44787,Germany
2.1,3.7,2.1,10.1,2022-01-14T00:00:00+01:00,,0.0,0.2,1642118400000,0.0,,,98.77,18.0,Clear,-2.6,41065,Germany
0.1,5.5,22.3,7.8,2022-01-14T00:00:00+01:00,,0.3,-3.0,1642118400000,0.0,,,86.28,,Clear,-5.7,72202,Germany
-1.5,6.2,31.8,10.5,2022-01-14T00:00:00+01:00,,0.0,-6.0,1642118400000,0.0,,,83.62,,Clear,-4.9,89250,Germany
-2.2,0.4,3.6,9.4,2022-01-14T00:00:00+01:00,,22.9,-3.4,1642118400000,0.0,"Mist, Light Freezing Drizzle/Freezing Rain",,91.32,,Clear,-6.1,93073,Germany
5.1,6.3,14.1,29.8,2022-01-14T00:00:00+01:00,,0.0,3.1,1642118400000,0.22,,,90.11,,Rain,-0.3,10179,Germany
